xi,gamma,g_couple,seed,phi_mean_final,E_mean_final,phi_var_final,roughness_final,coherence_final,status_final
0.005,0.02,0.1,2,1.032382120698518,1.0319198047373221,0.014612828781589477,0.32260500658883,0.8205224867655141,PARTIAL_ALIGNMENT
0.005,0.02,0.1,3,1.0311111904385917,1.029569168255962,0.0156666608215032,0.3117648956945108,0.8245867904156825,PARTIAL_ALIGNMENT
0.005,0.02,0.1,4,1.019695854827051,1.0210779201650633,0.015555028414711717,0.3189878391427486,0.8116312346020531,PARTIAL_ALIGNMENT
0.01,0.02,0.1,0,1.0161771315081127,1.0224147859948607,0.016359861856816066,0.2929098485893426,0.8223530965986158,PARTIAL_ALIGNMENT
0.01,0.02,0.1,1,1.010486351593298,1.0322653295048902,0.01602405276913186,0.295849171210533,0.8164210353501719,PARTIAL_ALIGNMENT
0.01,0.02,0.1,2,1.03394071190686,1.042641668752017,0.015390722756465674,0.3120540064081512,0.8269183731666564,PARTIAL_ALIGNMENT
0.01,0.02,0.1,3,1.0239452731672496,1.0137184714090544,0.01531584069678376,0.29430006348912596,0.8287366866324353,PARTIAL_ALIGNMENT
0.01,0.02,0.1,4,1.0373518213490647,1.0309211339294826,0.015906764530484164,0.3023085412345602,0.8346234183123417,PARTIAL_ALIGNMENT
0.02,0.02,0.1,0,1.0255107374211212,1.008024873218425,0.017125151854685113,0.29315802954945347,0.829134354088614,PARTIAL_ALIGNMENT
0.02,0.02,0.1,1,1.0428717451198606,1.0328744625089097,0.016673005041532466,0.2949064127280404,0.8425695409097129,PARTIAL_ALIGNMENT
0.02,0.02,0.1,2,1.0177664428225839,1.0375948097700465,0.01837599455944079,0.29626154978178154,0.8201457340277488,PARTIAL_ALIGNMENT
0.02,0.02,0.1,3,1.0348508927964666,1.0273989761639597,0.016492238376816556,0.2919737755902369,0.837876913380579,PARTIAL_ALIGNMENT
0.02,0.02,0.1,4,1.038833227435551,1.0270724065643555,0.01720930962041827,0.28932824622239234,0.8419820186903333,PARTIAL_ALIGNMENT
0.04,0.02,0.1,0,1.04282439044044,1.0118423348700496,0.017590740611909954,0.2964104536114708,0.840914812277806,PARTIAL_ALIGNMENT
0.04,0.02,0.1,1,1.0365129804294764,1.0173779200738948,0.016551899375712973,0.2997425151849197,0.8348375978094158,PARTIAL_ALIGNMENT
0.04,0.02,0.1,2,1.038504947595199,1.032963198308131,0.017323662710348915,0.29863061134169416,0.8364164797404056,PARTIAL_ALIGNMENT
0.04,0.02,0.1,3,1.0392524817733821,1.0255232900633062,0.014942571176095433,0.29983035836815863,0.838343138161766,PARTIAL_ALIGNMENT
0.04,0.02,0.1,4,1.0357815346927612,1.0148648488012695,0.015675131117557382,0.301723095469135,0.8338784641522042,PARTIAL_ALIGNMENT
0.0,0.05,0.1,0,-1.0440400879115876,-1.0447057630658818,0.002189154323080294,0.13620496364274082,0.0,PARTIAL_ALIGNMENT
0.0,0.05,0.1,1,-1.0451045544637627,-1.043012366516852,0.001011985923371214,0.10664592840915464,0.0,PARTIAL_ALIGNMENT
0.0,0.05,0.1,2,-0.06583124169909471,-0.06339802064593836,1.0006667091849226,0.20624499479416228,0.0,DOMAIN_COARSENING
0.0,0.05,0.1,3,1.0450352602018724,1.0425079549015503,0.0017409854114188734,0.1217181132904456,0.961908672740497,JHANA_ATTRACTOR_REACHED
0.0,0.05,0.1,4,1.042043268624525,1.040451367230029,0.0022262187172141235,0.13544656215644482,0.9499551939520845,JHANA_ATTRACTOR_REACHED
0.005,0.05,0.1,0,1.0491809297616925,1.0505969303264548,0.0009190021627022771,0.08233165626300751,0.9922333374638285,JHANA_ATTRACTOR_REACHED
0.005,0.05,0.1,1,1.052275983663517,1.0462724709404596,0.0010446048310126799,0.08740181306070462,0.9916777647293343,JHANA_ATTRACTOR_REACHED
0.005,0.05,0.1,2,1.0481606511072683,1.0426954341616241,0.000965706627906263,0.08378858392934187,0.9902598501561198,JHANA_ATTRACTOR_REACHED
0.005,0.05,0.1,3,1.0477662433721235,1.049358649401442,0.000942796463652745,0.07560551808092317,0.9953249976196382,JHANA_ATTRACTOR_REACHED
0.005,0.05,0.1,4,1.0466032543082617,1.0451672949507178,0.0009674961062505065,0.08490032213989392,0.9880541386754877,JHANA_ATTRACTOR_REACHED
0.01,0.05,0.1,0,1.0566850934587326,1.0517631345003715,0.001204842995464679,0.06754745079297125,1.0,JHANA_ATTRACTOR_REACHED
0.01,0.05,0.1,1,1.0497248647872506,1.0520548803147962,0.0009709269402168356,0.06808479396255343,1.0,JHANA_ATTRACTOR_REACHED
0.01,0.05,0.1,2,1.0518826668425225,1.0457324087460507,0.0009637399335697581,0.07410669803912204,1.0,JHANA_ATTRACTOR_REACHED
0.01,0.05,0.1,3,1.0499621290251078,1.0491777913778715,0.0011579260800781044,0.06519979845867147,1.0,JHANA_ATTRACTOR_REACHED
0.01,0.05,0.1,4,1.0518024986137982,1.0480940091554805,0.0010038379948128008,0.07010069546064776,1.0,JHANA_ATTRACTOR_REACHED
0.02,0.05,0.1,0,1.0562833808707512,1.052937539228021,0.0011548672002173568,0.05963021570243006,1.0,JHANA_ATTRACTOR_REACHED
